,0
0,"0    0.0
Name: 1232, dtype: float64"
1,1.0
2,"0    0.0
Name: 1597, dtype: float64"
3,"0    0.0
Name: 1174, dtype: float64"
4,1.0
5,"0    0.0
Name: 1121, dtype: float64"
6,"0    0.0
Name: 1333, dtype: float64"
7,"0    0.0
Name: 1523, dtype: float64"
8,1.0
9,"0    0.0
Name: 295, dtype: float64"
10,1.0
11,"0    0.0
Name: 1653, dtype: float64"
12,"0    0.0
Name: 1100, dtype: float64"
13,"0    0.0
Name: 1623, dtype: float64"
14,"0    0.0
Name: 198, dtype: float64"
15,"0    0.0
Name: 18, dtype: float64"
16,"0    0.0
Name: 1501, dtype: float64"
17,1.0
18,"0    0.0
Name: 1001, dtype: float64"
19,"0    0.0
Name: 814, dtype: float64"
20,"0    0.0
Name: 1775, dtype: float64"
21,"0    0.0
Name: 695, dtype: float64"
22,"0    0.0
Name: 1202, dtype: float64"
23,"0    0.0
Name: 1425, dtype: float64"
24,1.0
25,1.0
26,"0    0.0
Name: 1031, dtype: float64"
27,"0    0.0
Name: 1544, dtype: float64"
28,1.0
29,"0    0.0
Name: 740, dtype: float64"
30,"0    0.0
Name: 1846, dtype: float64"
31,"0    0.0
Name: 101, dtype: float64"
32,1.0
33,"0    0.0
Name: 177, dtype: float64"
34,"0    0.0
Name: 407, dtype: float64"
35,1.0
36,"0    0.0
Name: 1307, dtype: float64"
37,"0    1.0
Name: 466, dtype: float64"
38,1.0
39,1.0
40,"0    0.0
Name: 897, dtype: float64"
41,1.0
42,"0    0.0
Name: 1261, dtype: float64"
43,1.0
44,"0    0.0
Name: 674, dtype: float64"
45,"0    0.0
Name: 271, dtype: float64"
46,1.0
47,"0    0.0
Name: 246, dtype: float64"
48,"0    0.0
Name: 1678, dtype: float64"
49,"0    0.0
Name: 1729, dtype: float64"
50,"0    0.0
Name: 1567, dtype: float64"
51,"0    0.0
Name: 1378, dtype: float64"
52,"0    0.0
Name: 1797, dtype: float64"
53,"0    0.0
Name: 546, dtype: float64"
54,"0    0.0
Name: 952, dtype: float64"
55,"0    0.0
Name: 1704, dtype: float64"
56,"0    0.0
Name: 1930, dtype: float64"
57,"0    0.0
Name: 601, dtype: float64"
58,1.0
59,"0    0.0
Name: 1051, dtype: float64"
60,"0    0.0
Name: 1876, dtype: float64"
61,"0    0.0
Name: 1904, dtype: float64"
62,1.0
63,"0    0.0
Name: 1286, dtype: float64"
64,"0    0.0
Name: 1147, dtype: float64"
65,1.0
66,"0    0.0
Name: 352, dtype: float64"
67,1.0
68,"0    0.0
Name: 325, dtype: float64"
69,"0    0.0
Name: 790, dtype: float64"
70,"0    0.0
Name: 519, dtype: float64"
71,"0    0.0
Name: 1448, dtype: float64"
72,1.0
73,1.0
74,1.0
75,"0    0.0
Name: 576, dtype: float64"
76,"0    0.0
Name: 631, dtype: float64"
77,"0    0.0
Name: 653, dtype: float64"
78,1.0
79,1.0
80,"0    0.0
Name: 71, dtype: float64"
81,"0    0.0
Name: 1401, dtype: float64"
82,1.0
83,1.0
84,"0    0.0
Name: 1755, dtype: float64"
85,1.0
86,1.0
87,1.0
88,"0    0.0
Name: 48, dtype: float64"
89,"0    0.0
Name: 1821, dtype: float64"
90,"0    0.0
Name: 1071, dtype: float64"
91,"0    0.0
Name: 923, dtype: float64"
92,"0    1.0
Name: 1355, dtype: float64"
93,1.0
94,"0    0.0
Name: 490, dtype: float64"
95,1.0
96,1.0
97,1.0
98,"0    0.0
Name: 979, dtype: float64"
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,"0    0.0
Name: 840, dtype: float64"
105,1.0
106,"0    0.0
Name: 128, dtype: float64"
107,1.0
108,"0    0.0
Name: 382, dtype: float64"
109,"0    0.0
Name: 151, dtype: float64"
110,"0    0.0
Name: 765, dtype: float64"
111,1.0
112,1.0
113,1.0
114,"0    0.0
Name: 218, dtype: float64"
115,"0    0.0
Name: 719, dtype: float64"
116,"0    0.0
Name: 1475, dtype: float64"
117,"0    0.0
Name: 436, dtype: float64"
118,1.0
119,"0    1.0
Name: 867, dtype: float64"
